#,,,,,,,
LAX/CTUSA-SJC/CTUSA 64V4C001(P),10,STM64,Lumen,BBDJ3658,"San Jose, CA","Los Angeles, CA",
LAX/CTUSA-SJC/CTUSA 64V4C002(W),10,STM64,Lumen,10GWAN-17189053-DIV ,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C002(P),10,STM64,Lumen,10GWAN-17189054-DIV,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C003(W),10,STM64,Lumen,BBXM1482,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C003(P),10,STM64,Lumen,BBXM1485,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C009*TD,10,10GE,Lumen,10GWAN-17189058-DIV,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C007*TD,10,10GE,Lumen,10GWAN-17189061-DIV ,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-MIA/CTUSA 64V4C001(W),10,STM64,Lumen,BBXM1481,"Miami, FL","Los Angeles, CA",
LAX/CTUSA-MIA/CTUSA 64V4C001(P),10,STM64,Lumen,BBXM1483,"Miami, FL","Los Angeles, CA",
LAX/CTUSA-MIA/CTUSA 64V4C003*TD,10,10GE,Century Link,10GWAN-17192464-DIV,"Los Angeles, CA","Miami, FL",
LAX/CTUSA-WDC/CTUSA 64V4C001(W),10,STM64,Lumen,BBXM1484,"Los Angeles, CA","Ashburn, VA",
LAX/CTUSA-WDC/CTUSA 64V4C001(P),10,STM64,Lumen,BBXM1489,"Los Angeles, CA","Ashburn, VA",
LAX/CTUSA-WDC/CTUSA 64V4C002*TD,10,10GE,Lumen,10GWAN-17192460-DIV,"Los Angeles, CA","Ashburn, VA",
LAX/CTUSA-WDC/CTUSA 64V4C003*TD,10,10GE,Lumen,10GWAN-17192463-DIV,"Los Angeles, CA","Ashburn, VA",
,,,,,,,
SJC/CTUSA-NYC/CTUSA 64V4C001(W),10,STM64,Lumen,BBXM1479,"San Jose, CA","New York, NY",
SJC/CTUSA-NYC/CTUSA 64V4C001(P),10,STM64,Lumen,BBXM1487,"San Jose, CA","New York, NY",
SJC/CTUSA-SEA/CTUSA 64V4C001,10,STM64,Lumen,BBGK0433,"Seattle, WA","San Jose, CA",
SJC/CTUSA-SEA/CTUSA 64V4C001,10,STM64,Lumen,BBGK0442,"Seattle, WA","San Jose, CA",
SJC/CTUSA-SEA/CTUSA 64V4C002(W),10,STM64,Lumen,BBXM1486,"Seattle, WA","San Jose, CA",
SJC/CTUSA-SEA/CTUSA 64V4C002(P),10,STM64,Zayo,OQYX/141836//ZYO,"Seattle, WA","San Jose, CA",
SJC/CTUSA-CHI/CTUSA 64V4C001(W),10,STM64,Lumen,10GWAN-17368857-DIV,"San Jose, CA","Chicago, IL",
SJC/CTUSA-CHI/CTUSA 64V4C001(P),10,STM64,Lumen,10GWAN-17368859-DIV,"San Jose, CA","Chicago, IL",
SJC/CTUSA-WDC/CTUSA 64V4C001*TD,10,10GE,Lumen,10GWAN-17192468-DIV,"San Jose, CA","Ashburn, VA",
SJC/CTUSA-WDC/CTUSA 64V4C002*TD,10,10GE,Lumen,OC192-17192469-DIV,"San Jose, CA","Ashburn, VA",
SJC/CTUSA-WDC/CTUSA 64V4C002*TD,10,10GE,Lumen,10GWAN-17192469-DIV,"San Jose, CA","Ashburn, VA",
SJC/CTUSA-WDC/CTUSA 64V4C003,10,10GE,Lumen,OC192-17192468-DIV,"San Jose, CA","Ashburn, VA",
SJC/CTUSA-WDC/CTUSA 64V4C003,10,10GE,Lumen,10GWAN-17192468,"San Jose, CA","Ashburn, VA",
,,,,,,,
SEA/CTUSA - CHI/CTUSA 64V4C001,10,STM64,Zayo,OGYX/156417//ZYO,"Chicago, IL","Seattle, WA",
,,,,,,,
Chicago/CTUSA-Toronto/CTUSA 64V4C001*CN2,10,10GE,Lumen,442364627,"Chicago, IL","TOR, ON",
CHI/CTUSA-TOR/CTUSA 10GE001(W)*GSP,10,10GE,Lumen,445598145,"Chicago, IL","TOR, ON",
,,,,,,,
SJC/CTUSA-WDC/CTUSA 100G001*IP,100,100GE,Zayo,OQYX/269405//ZYO,"San Jose, CA","Ashburn, VA",SJC/CTUSA-WDC/CTUSA 100G003*TD
SJC/CTUSA-WDC/CTUSA 100G002*IP,100,100GE,Lumen,441870051,"San Jose, CA","Ashburn, VA",SJC/CTUSA-WDC/CTUSA 100G004*TD
SJC/CTUSA-WDC/CTUSA 100G005*TD,100,OTU4,Verizon,W1E16892,"San Jose, CA","Ashburn, VA",
,,,,,,,
Bandon/CT-LAX/CT GE100L002*TD,100,100GE,Lumen,441318343,"Bandon, OR","Los Angeles, CA",SHI/CT-LAX/CT 100G008*IP/CAS-02089389
CHM/CT-LAX/CT GE100L007*TD,100,100GE,Lumen,441318344,"Bandon, OR","Los Angeles, CA",
CHM/CT-LAX/CT GE100L001*TD,100,OTU4,Lumen,ETH100GB-23329322-DIV,"CHM","Los Angeles, CA",GZU/CT-LAX/CT 100G004*IP
CHM/CT-LAX/CT GE100L001*TD,100,OTU4,Lumen,OTU4-22831425,"CHM","Los Angeles, CA",GZU/CT-LAX/CT 100G004*IP
QDA/CT-SJC/CT GE100L004*TD,100,100GE,Lumen,441318359,"Bandon, OR","San Jose, CA",BEI/CT-SJC/CT 100G003*IP
Bandon/CT-Hillsboro/CT GE100L001*TD,100,100GE,Lumen, 441228414,"Bandon, OR","Hillsboro,OR",
Qiancang-SJC OTN100G-1(IOTNhw),100,OTU4,Lumen,441318360,"Bandon, OR","San Jose, CA",SHI/CT-SJC/CT EP017
SHT/CT-LAX/CT 64V4C004,10,STM64,Lumen,BBWG6292,"SHT","Los Angeles,CA",
SHI/CT-LAX/CT 100G002*IP,100,OTU4,Lumen,ETH100GB-23337140-DIV,"SHI","Los Angeles,CA",
SHI/CT-LAX/CT 100G002*IP,100,OTU4,Lumen,OTU4-22831437,"SHI","Los Angeles,CA",
GZU/CT-LAX/CT 100G011*IP,100,OTU4,Lumen,442265285,"GZU","Los Angeles,CA",
BEI/CT-SJC/CT 100G001,100,OTU4,Lumen,ETH100GB-23329447-DIV,"BEI","Los Angeles,CA",
BEI/CT-SJC/CT 100G001,100,OTU4,Lumen,OTU4-22831433,"BEI","Los Angeles,CA",
